Date,Store,DayOfWeek,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
2013-03-08,1,5,5853,694,1,1,0,0
2013-03-09,1,6,5578,734,1,0,0,0
2013-03-10,1,7,0,0,0,0,0,0
2013-03-11,1,1,4949,618,1,0,0,0
2013-03-12,1,2,3853,491,1,0,0,0
2013-03-13,1,3,4341,622,1,0,0,0
2013-03-14,1,4,5108,660,1,0,0,0
2013-03-15,1,5,4925,677,1,0,0,0
2013-03-16,1,6,5003,680,1,0,0,0
2013-03-17,1,7,0,0,0,0,0,0
2013-03-18,1,1,7072,778,1,1,0,0
2013-03-19,1,2,6563,719,1,1,0,0
2013-03-20,1,3,5598,688,1,1,0,0
2013-03-21,1,4,5179,662,1,1,0,0
2013-03-22,1,5,5506,694,1,1,0,0
2013-03-23,1,6,5603,682,1,0,0,0
2013-03-24,1,7,0,0,0,0,0,0
2013-03-25,1,1,6729,777,1,1,0,1
2013-03-26,1,2,6686,747,1,1,0,1
2013-03-27,1,3,6660,779,1,1,0,1
2013-03-28,1,4,7285,902,1,1,0,1
2013-03-29,1,5,0,0,0,1,b,1
2013-03-30,1,6,7132,773,1,0,0,0
2013-03-31,1,7,0,0,0,0,0,0
2013-04-01,1,1,0,0,0,0,b,1
2013-04-02,1,2,5484,629,1,0,0,1
2013-04-03,1,3,4625,594,1,0,0,1
2013-04-04,1,4,4293,566,1,0,0,1
2013-04-05,1,5,4390,571,1,0,0,1
2013-04-06,1,6,5075,657,1,0,0,0
2013-04-07,1,7,0,0,0,0,0,0
2013-04-08,1,1,6046,695,1,1,0,0
2013-04-09,1,2,5514,594,1,1,0,0
2013-04-10,1,3,4903,575,1,1,0,0
2013-04-11,1,4,4366,541,1,1,0,0
2013-04-12,1,5,5263,614,1,1,0,0
2013-04-13,1,6,4773,608,1,0,0,0
2013-04-14,1,7,0,0,0,0,0,0
2013-04-15,1,1,3941,526,1,0,0,0
2013-04-16,1,2,3357,453,1,0,0,0
2013-04-17,1,3,3649,500,1,0,0,0
2013-04-18,1,4,2952,432,1,0,0,0
2013-04-19,1,5,4303,526,1,0,0,0
2013-04-20,1,6,4350,546,1,0,0,0
2013-04-21,1,7,0,0,0,0,0,0
2013-04-22,1,1,5672,623,1,1,0,0
2013-04-23,1,2,4492,560,1,1,0,0
2013-04-24,1,3,4309,512,1,1,0,0
2013-04-25,1,4,3939,532,1,1,0,0
2013-04-26,1,5,4841,572,1,1,0,0
2013-04-27,1,6,5726,650,1,0,0,0
2013-04-28,1,7,0,0,0,0,0,0
2013-04-29,1,1,5821,641,1,1,0,0
2013-04-30,1,2,5925,665,1,1,0,0
2013-05-01,1,3,0,0,0,1,a,0
2013-05-02,1,4,6486,677,1,1,0,0
2013-05-03,1,5,6027,658,1,1,0,0
2013-05-04,1,6,5912,813,1,0,0,0
2013-05-05,1,7,0,0,0,0,0,0
2013-05-06,1,1,4568,562,1,0,0,0
2013-05-07,1,2,4624,540,1,0,0,0
2013-05-08,1,3,5230,631,1,0,0,0
2013-05-09,1,4,0,0,0,0,a,0
2013-05-10,1,5,5409,644,1,0,0,0
2013-05-11,1,6,5064,640,1,0,0,0
2013-05-12,1,7,0,0,0,0,0,0
2013-05-13,1,1,6106,660,1,1,0,0
2013-05-14,1,2,5083,574,1,1,0,0
2013-05-15,1,3,4790,576,1,1,0,0
2013-05-16,1,4,4448,544,1,1,0,0
2013-05-17,1,5,4856,597,1,1,0,0
2013-05-18,1,6,4413,535,1,0,0,0
2013-05-19,1,7,0,0,0,0,0,0
2013-05-20,1,1,0,0,0,0,a,0
2013-05-21,1,2,4789,602,1,0,0,0
2013-05-22,1,3,3559,507,1,0,0,0
2013-05-23,1,4,4030,536,1,0,0,0
2013-05-24,1,5,4232,534,1,0,0,0
2013-05-25,1,6,4408,538,1,0,0,0
2013-05-26,1,7,0,0,0,0,0,0
2013-05-27,1,1,5519,606,1,1,0,0
2013-05-28,1,2,4995,555,1,1,0,0
2013-05-29,1,3,5784,641,1,1,0,0
2013-05-30,1,4,0,0,0,1,a,0
2013-05-31,1,5,7893,795,1,1,0,0
2013-06-01,1,6,5693,662,1,0,0,0
2013-06-02,1,7,0,0,0,0,0,0
2013-06-03,1,1,5422,619,1,1,0,0
2013-06-04,1,2,5220,558,1,1,0,0
2013-06-05,1,3,5012,575,1,1,0,0
2013-06-06,1,4,4881,555,1,1,0,0
2013-06-07,1,5,4315,541,1,1,0,0
2013-06-08,1,6,4262,511,1,0,0,0
2013-06-09,1,7,0,0,0,0,0,0
2013-06-10,1,1,4291,531,1,0,0,0
2013-06-11,1,2,3784,500,1,0,0,0
2013-06-12,1,3,3563,476,1,0,0,0
2013-06-13,1,4,3661,461,1,0,0,0
2013-06-14,1,5,4150,529,1,0,0,0
2013-06-15,1,6,4766,567,1,0,0,0
2013-06-16,1,7,0,0,0,0,0,0
2013-06-17,1,1,5337,585,1,1,0,0
2013-06-18,1,2,4633,554,1,1,0,0
2013-06-19,1,3,4180,517,1,1,0,0
2013-06-20,1,4,5011,539,1,1,0,0
2013-06-21,1,5,5173,542,1,1,0,0
2013-06-22,1,6,4341,512,1,0,0,0
2013-06-23,1,7,0,0,0,0,0,0
2013-06-24,1,1,3549,494,1,0,0,0
2013-06-25,1,2,4536,528,1,0,0,0
2013-06-26,1,3,3827,508,1,0,0,0
2013-06-27,1,4,3593,464,1,0,0,0
2013-06-28,1,5,4407,568,1,0,0,0
2013-06-29,1,6,5804,671,1,0,0,0
2013-06-30,1,7,0,0,0,0,0,0
2013-07-01,1,1,5614,614,1,1,0,0
2013-07-02,1,2,5868,614,1,1,0,0
2013-07-03,1,3,5875,634,1,1,0,0
2013-07-04,1,4,5701,634,1,1,0,0
2013-07-05,1,5,4986,603,1,1,0,0
2013-07-06,1,6,4090,498,1,0,0,1
2013-07-07,1,7,0,0,0,0,0,1
2013-07-08,1,1,4475,523,1,0,0,1
2013-07-09,1,2,4047,503,1,0,0,1
2013-07-10,1,3,3963,496,1,0,0,1
2013-07-11,1,4,4053,486,1,0,0,1
2013-07-12,1,5,4134,514,1,0,0,1
2013-07-13,1,6,4015,490,1,0,0,1
2013-07-14,1,7,0,0,0,0,0,1
2013-07-15,1,1,6377,657,1,1,0,1
2013-07-16,1,2,5643,582,1,1,0,1
2013-07-17,1,3,4946,544,1,1,0,1
2013-07-18,1,4,4904,533,1,1,0,1
2013-07-19,1,5,4275,495,1,1,0,1
2013-07-20,1,6,4421,544,1,0,0,1
2013-07-21,1,7,0,0,0,0,0,1
2013-07-22,1,1,4149,493,1,0,0,1
2013-07-23,1,2,3937,497,1,0,0,1
2013-07-24,1,3,3849,453,1,0,0,1
2013-07-25,1,4,3502,451,1,0,0,1
2013-07-26,1,5,4221,516,1,0,0,1
2013-07-27,1,6,3352,456,1,0,0,1
2013-07-28,1,7,0,0,0,0,0,1
2013-07-29,1,1,6290,630,1,1,0,1
2013-07-30,1,2,5773,630,1,1,0,1
2013-07-31,1,3,5572,624,1,1,0,1
2013-08-01,1,4,4994,555,1,1,0,1
2013-08-02,1,5,4494,562,1,1,0,1
2013-08-03,1,6,4461,553,1,0,0,1
2013-08-04,1,7,0,0,0,0,0,1
2013-08-05,1,1,4086,522,1,0,0,1
2013-08-06,1,2,3582,477,1,0,0,1
2013-08-07,1,3,4143,512,1,0,0,1
2013-08-08,1,4,3680,466,1,0,0,1
2013-08-09,1,5,3257,418,1,0,0,1
2013-08-10,1,6,3768,457,1,0,0,1
2013-08-11,1,7,0,0,0,0,0,1
2013-08-12,1,1,5326,600,1,1,0,1
2013-08-13,1,2,5299,573,1,1,0,1
2013-08-14,1,3,4724,574,1,1,0,1
2013-08-15,1,4,4575,538,1,1,0,1
2013-08-16,1,5,4552,527,1,1,0,1
2013-08-17,1,6,4078,503,1,0,0,0
2013-08-18,1,7,0,0,0,0,0,0
2013-08-19,1,1,3954,513,1,0,0,0
2013-08-20,1,2,3492,475,1,0,0,0
2013-08-21,1,3,3096,441,1,0,0,0
2013-08-22,1,4,3703,498,1,0,0,0
2013-08-23,1,5,3493,445,1,0,0,0
2013-08-24,1,6,4752,601,1,0,0,0
2013-08-25,1,7,0,0,0,0,0,0
2013-08-26,1,1,5482,613,1,1,0,0
2013-08-27,1,2,5156,556,1,1,0,0
2013-08-28,1,3,4583,507,1,1,0,0
2013-08-29,1,4,4804,534,1,1,0,0
2013-08-30,1,5,5469,612,1,1,0,0
2013-08-31,1,6,5317,598,1,0,0,0
2013-09-01,1,7,0,0,0,0,0,0
2013-09-02,1,1,4195,496,1,0,0,0
2013-09-03,1,2,3928,507,1,0,0,0
2013-09-04,1,3,3343,444,1,0,0,0
2013-09-05,1,4,3883,465,1,0,0,0
2013-09-06,1,5,3836,466,1,0,0,0
2013-09-07,1,6,4663,555,1,0,0,0
2013-09-08,1,7,0,0,0,0,0,0
2013-09-09,1,1,5893,601,1,1,0,0
2013-09-10,1,2,5403,599,1,1,0,0
2013-09-11,1,3,5103,580,1,1,0,0
2013-09-12,1,4,5079,586,1,1,0,0
2013-09-13,1,5,5187,559,1,1,0,0
2013-09-14,1,6,4663,619,1,0,0,0
2013-09-15,1,7,0,0,0,0,0,0
2013-09-16,1,1,4249,568,1,0,0,0
2013-09-17,1,2,3685,502,1,0,0,0
2013-09-18,1,3,3946,507,1,0,0,0
2013-09-19,1,4,3717,469,1,0,0,0
2013-09-20,1,5,3516,494,1,0,0,0
2013-09-21,1,6,3909,522,1,0,0,0
2013-09-22,1,7,0,0,0,0,0,0
2013-09-23,1,1,4770,542,1,1,0,0
2013-09-24,1,2,4274,492,1,1,0,0
2013-09-25,1,3,4212,500,1,1,0,0
2013-09-26,1,4,4481,537,1,1,0,0
2013-09-27,1,5,4669,548,1,1,0,0
2013-09-28,1,6,4175,538,1,0,0,0
2013-09-29,1,7,0,0,0,0,0,0
2013-09-30,1,1,4088,516,1,0,0,0
2013-10-01,1,2,4178,508,1,0,0,0
2013-10-02,1,3,4001,509,1,0,0,0
2013-10-03,1,4,0,0,0,0,a,0
2013-10-04,1,5,5447,619,1,0,0,0
2013-10-05,1,6,5352,662,1,0,0,0
2013-10-06,1,7,0,0,0,0,0,0
2013-10-07,1,1,6004,626,1,1,0,0
2013-10-08,1,2,5452,592,1,1,0,0
2013-10-09,1,3,4957,596,1,1,0,0
2013-10-10,1,4,5286,596,1,1,0,0
2013-10-11,1,5,5896,670,1,1,0,0
2013-10-12,1,6,4954,608,1,0,0,0
2013-10-13,1,7,0,0,0,0,0,0
2013-10-14,1,1,3773,478,1,0,0,1
2013-10-15,1,2,3355,457,1,0,0,1
2013-10-16,1,3,3383,452,1,0,0,1
2013-10-17,1,4,3223,446,1,0,0,1
2013-10-18,1,5,3566,490,1,0,0,1
2013-10-19,1,6,3667,479,1,0,0,1
2013-10-20,1,7,0,0,0,0,0,1
2013-10-21,1,1,5055,571,1,1,0,1
2013-10-22,1,2,4068,504,1,1,0,1
2013-10-23,1,3,4612,505,1,1,0,1
2013-10-24,1,4,4044,498,1,1,0,1
2013-10-25,1,5,4573,576,1,1,0,1
2013-10-26,1,6,4347,535,1,0,0,0
2013-10-27,1,7,0,0,0,0,0,0
2013-10-28,1,1,3557,494,1,0,0,0
2013-10-29,1,2,3737,479,1,0,0,0
2013-10-30,1,3,4119,496,1,0,0,0
2013-10-31,1,4,4035,514,1,0,0,0
2013-11-01,1,5,5471,707,1,0,0,0
2013-11-02,1,6,5233,653,1,0,0,0
2013-11-03,1,7,0,0,0,0,0,0
2013-11-04,1,1,5861,620,1,1,0,0
2013-11-05,1,2,5348,628,1,1,0,0
2013-11-06,1,3,5572,611,1,1,0,0
2013-11-07,1,4,5009,575,1,1,0,0
2013-11-08,1,5,5242,583,1,1,0,0
2013-11-09,1,6,4681,582,1,0,0,0
2013-11-10,1,7,0,0,0,0,0,0
2013-11-11,1,1,4014,519,1,0,0,0
2013-11-12,1,2,4017,507,1,0,0,0
2013-11-13,1,3,3310,464,1,0,0,0
2013-11-14,1,4,3795,502,1,0,0,0
2013-11-15,1,5,4016,504,1,0,0,0
2013-11-16,1,6,5071,616,1,0,0,0
2013-11-17,1,7,0,0,0,0,0,0
2013-11-18,1,1,5927,681,1,1,0,0
2013-11-19,1,2,5143,583,1,1,0,0
2013-11-20,1,3,4936,586,1,1,0,0
2013-11-21,1,4,4623,545,1,1,0,0
2013-11-22,1,5,5058,581,1,1,0,0
2013-11-23,1,6,5297,614,1,0,0,0
2013-11-24,1,7,0,0,0,0,0,0
2013-11-25,1,1,4600,575,1,0,0,0
2013-11-26,1,2,4201,524,1,0,0,0
2013-11-27,1,3,4561,530,1,0,0,0
2013-11-28,1,4,4614,585,1,0,0,0
2013-11-29,1,5,5623,665,1,0,0,0
2013-11-30,1,6,6373,730,1,0,0,0
2013-12-01,1,7,0,0,0,0,0,0
2013-12-02,1,1,6943,754,1,1,0,0
2013-12-03,1,2,6293,658,1,1,0,0
2013-12-04,1,3,5688,627,1,1,0,0
2013-12-05,1,4,5691,685,1,1,0,0
2013-12-06,1,5,6112,673,1,1,0,0
2013-12-07,1,6,5799,723,1,0,0,0
2013-12-08,1,7,0,0,0,0,0,0
2013-12-09,1,1,4462,576,1,0,0,0
2013-12-10,1,2,4228,581,1,0,0,0
2013-12-11,1,3,4301,543,1,0,0,0
2013-12-12,1,4,4074,558,1,0,0,0
2013-12-13,1,5,4703,594,1,0,0,0
2013-12-14,1,6,6119,743,1,0,0,0
2013-12-15,1,7,0,0,0,0,0,0
2013-12-16,1,1,8277,825,1,1,0,0
2013-12-17,1,2,7356,808,1,1,0,0
2013-12-18,1,3,7821,828,1,1,0,0
2013-12-19,1,4,6788,782,1,1,0,0
2013-12-20,1,5,8414,895,1,1,0,0
2013-12-21,1,6,8043,927,1,0,0,0
2013-12-22,1,7,0,0,0,0,0,0
2013-12-23,1,1,9528,1130,1,0,0,1
2013-12-24,1,2,3204,385,1,0,0,1
2013-12-25,1,3,0,0,0,0,c,1
2013-12-26,1,4,0,0,0,0,c,1
2013-12-27,1,5,6110,737,1,0,0,1
2013-12-28,1,6,5659,716,1,0,0,1
2013-12-29,1,7,0,0,0,0,0,1
2013-12-30,1,1,7193,796,1,0,0,1
2013-12-31,1,2,2362,298,1,0,0,1
2014-01-01,1,3,0,0,0,0,a,1
2014-01-02,1,4,4969,618,1,0,0,1
2014-01-03,1,5,4190,552,1,0,0,1
2014-01-04,1,6,5173,660,1,0,0,1
2014-01-05,1,7,0,0,0,0,0,1
2014-01-06,1,1,6194,649,1,1,0,1
2014-01-07,1,2,5539,607,1,1,0,1
2014-01-08,1,3,4931,589,1,1,0,1
2014-01-09,1,4,4396,539,1,1,0,1
2014-01-10,1,5,4486,559,1,1,0,1
2014-01-11,1,6,4454,569,1,0,0,0
2014-01-12,1,7,0,0,0,0,0,0
2014-01-13,1,1,3994,545,1,0,0,0
2014-01-14,1,2,3621,464,1,0,0,0
2014-01-15,1,3,3776,486,1,0,0,0
2014-01-16,1,4,3632,477,1,0,0,0
2014-01-17,1,5,3803,479,1,0,0,0
2014-01-18,1,6,5128,630,1,0,0,0
2014-01-19,1,7,0,0,0,0,0,0
2014-01-20,1,1,6148,653,1,1,0,0
2014-01-21,1,2,5151,551,1,1,0,0
2014-01-22,1,3,4562,549,1,1,0,0
2014-01-23,1,4,4597,525,1,1,0,0
2014-01-24,1,5,5098,587,1,1,0,0
2014-01-25,1,6,4546,561,1,0,0,0
2014-01-26,1,7,0,0,0,0,0,0
2014-01-27,1,1,3601,517,1,0,0,0
2014-01-28,1,2,3581,453,1,0,0,0
2014-01-29,1,3,3789,491,1,0,0,0
2014-01-30,1,4,4549,543,1,0,0,0
2014-01-31,1,5,4906,589,1,0,0,0
2014-02-01,1,6,5292,667,1,0,0,0
2014-02-02,1,7,0,0,0,0,0,0
2014-02-03,1,1,5839,638,1,1,0,0
2014-02-04,1,2,5540,602,1,1,0,0
2014-02-05,1,3,5031,581,1,1,0,0
2014-02-06,1,4,4823,557,1,1,0,0
2014-02-07,1,5,5596,636,1,1,0,0
2014-02-08,1,6,4726,620,1,0,0,0
2014-02-09,1,7,0,0,0,0,0,0
2014-02-10,1,1,3591,502,1,0,0,0
2014-02-11,1,2,3461,481,1,0,0,0
2014-02-12,1,3,3662,508,1,0,0,0
2014-02-13,1,4,3638,517,1,0,0,0
2014-02-14,1,5,4647,591,1,0,0,0
2014-02-15,1,6,5258,655,1,0,0,0
2014-02-16,1,7,0,0,0,0,0,0
2014-02-17,1,1,5393,606,1,1,0,0
2014-02-18,1,2,4602,556,1,1,0,0
2014-02-19,1,3,4935,547,1,1,0,0
2014-02-20,1,4,4563,559,1,1,0,0
2014-02-21,1,5,4727,550,1,1,0,0
2014-02-22,1,6,4820,623,1,0,0,0
2014-02-23,1,7,0,0,0,0,0,0
2014-02-24,1,1,3826,481,1,0,0,0
2014-02-25,1,2,3499,470,1,0,0,0
2014-02-26,1,3,4108,491,1,0,0,0
2014-02-27,1,4,3826,519,1,0,0,0
2014-02-28,1,5,5031,603,1,0,0,0
2014-03-01,1,6,5307,655,1,0,0,0
2014-03-02,1,7,0,0,0,0,0,0
2014-03-03,1,1,6198,616,1,1,0,0
2014-03-04,1,2,5397,619,1,1,0,0
2014-03-05,1,3,4916,592,1,1,0,0
2014-03-06,1,4,4585,542,1,1,0,0
2014-03-07,1,5,5340,588,1,1,0,0
2014-03-08,1,6,4400,550,1,0,0,0
2014-03-09,1,7,0,0,0,0,0,0
2014-03-10,1,1,3573,469,1,0,0,0
2014-03-11,1,2,3588,476,1,0,0,0
2014-03-12,1,3,3805,499,1,0,0,0
2014-03-13,1,4,3224,450,1,0,0,0
2014-03-14,1,5,3883,502,1,0,0,0
2014-03-15,1,6,5042,630,1,0,0,0
2014-03-16,1,7,0,0,0,0,0,0
2014-03-17,1,1,5563,628,1,1,0,0
2014-03-18,1,2,5200,635,1,1,0,0
2014-03-19,1,3,4036,496,1,1,0,0
2014-03-20,1,4,4023,485,1,1,0,0
2014-03-21,1,5,4510,542,1,1,0,0
2014-03-22,1,6,5241,628,1,0,0,0
2014-03-23,1,7,0,0,0,0,0,0
2014-03-24,1,1,3850,511,1,0,0,0
2014-03-25,1,2,3136,448,1,0,0,0
2014-03-26,1,3,3225,443,1,0,0,0
2014-03-27,1,4,3847,512,1,0,0,0
2014-03-28,1,5,3987,471,1,0,0,0
2014-03-29,1,6,4583,548,1,0,0,0
2014-03-30,1,7,0,0,0,0,0,0
2014-03-31,1,1,6008,640,1,1,0,0
2014-04-01,1,2,5407,583,1,1,0,0
2014-04-02,1,3,4834,539,1,1,0,0
2014-04-03,1,4,4556,526,1,1,0,0
2014-04-04,1,5,4738,552,1,1,0,0
2014-04-05,1,6,4599,571,1,0,0,0
2014-04-06,1,7,0,0,0,0,0,0
2014-04-07,1,1,3751,497,1,0,0,0
2014-04-08,1,2,3990,496,1,0,0,0
2014-04-09,1,3,3919,528,1,0,0,0
2014-04-10,1,4,3948,501,1,0,0,0
2014-04-11,1,5,3733,507,1,0,0,0
2014-04-12,1,6,4435,570,1,0,0,0
2014-04-13,1,7,0,0,0,0,0,0
2014-04-14,1,1,6803,693,1,1,0,1
2014-04-15,1,2,6196,672,1,1,0,1
2014-04-16,1,3,6381,662,1,1,0,1
2014-04-17,1,4,6160,703,1,1,0,1
2014-04-18,1,5,0,0,0,1,b,1
2014-04-19,1,6,5871,642,1,0,0,1
2014-04-20,1,7,0,0,0,0,0,1
2014-04-21,1,1,0,0,0,0,b,1
2014-04-22,1,2,4133,563,1,0,0,1
2014-04-23,1,3,3482,434,1,0,0,1
2014-04-24,1,4,3376,461,1,0,0,1
2014-04-25,1,5,3710,468,1,0,0,1
2014-04-26,1,6,3989,535,1,0,0,0
2014-04-27,1,7,0,0,0,0,0,0
2014-04-28,1,1,5488,607,1,1,0,0
2014-04-29,1,2,5923,628,1,1,0,0
2014-04-30,1,3,5870,624,1,1,0,0
2014-05-01,1,4,0,0,0,1,a,0
2014-05-02,1,5,6790,732,1,1,0,0
2014-05-03,1,6,5498,633,1,0,0,0
2014-05-04,1,7,0,0,0,0,0,0
2014-05-05,1,1,5325,615,1,1,0,0
2014-05-06,1,2,5055,585,1,1,0,0
2014-05-07,1,3,5075,604,1,1,0,0
2014-05-08,1,4,5222,614,1,1,0,0
2014-05-09,1,5,5237,622,1,1,0,0
2014-05-10,1,6,5996,710,1,0,0,0
2014-05-11,1,7,0,0,0,0,0,0
2014-05-12,1,1,3957,555,1,0,0,0
2014-05-13,1,2,3535,449,1,0,0,0
2014-05-14,1,3,3710,474,1,0,0,0
2014-05-15,1,4,3589,491,1,0,0,0
2014-05-16,1,5,3863,479,1,0,0,0
2014-05-17,1,6,3785,512,1,0,0,0
2014-05-18,1,7,0,0,0,0,0,0
2014-05-19,1,1,5637,608,1,1,0,0
2014-05-20,1,2,4909,549,1,1,0,0
2014-05-21,1,3,4298,510,1,1,0,0
2014-05-22,1,4,3801,481,1,1,0,0
2014-05-23,1,5,4968,526,1,1,0,0
2014-05-24,1,6,4574,516,1,0,0,0
2014-05-25,1,7,0,0,0,0,0,0
2014-05-26,1,1,3912,494,1,0,0,0
2014-05-27,1,2,3971,511,1,0,0,0
2014-05-28,1,3,4616,581,1,0,0,0
2014-05-29,1,4,0,0,0,0,a,0
2014-05-30,1,5,5407,628,1,0,0,0
2014-05-31,1,6,4985,560,1,0,0,0
2014-06-01,1,7,0,0,0,0,0,0
2014-06-02,1,1,6071,609,1,1,0,0
2014-06-03,1,2,5614,593,1,1,0,0
2014-06-04,1,3,5229,570,1,1,0,0
2014-06-05,1,4,5278,585,1,1,0,0
2014-06-06,1,5,4957,575,1,1,0,0
2014-06-07,1,6,4923,555,1,0,0,0
2014-06-08,1,7,0,0,0,0,0,0
2014-06-09,1,1,0,0,0,0,a,0
2014-06-10,1,2,4607,560,1,0,0,0
2014-06-11,1,3,4207,535,1,0,0,0
2014-06-12,1,4,3702,489,1,0,0,0
2014-06-13,1,5,3901,498,1,0,0,0
2014-06-14,1,6,4757,562,1,0,0,0
2014-06-15,1,7,0,0,0,0,0,0
2014-06-16,1,1,4788,529,1,1,0,0
2014-06-17,1,2,5770,594,1,1,0,0
2014-06-18,1,3,5256,567,1,1,0,0
2014-06-19,1,4,0,0,0,1,a,0
2014-06-20,1,5,6362,709,1,1,0,0
2014-06-21,1,6,3982,496,1,0,0,0
2014-06-22,1,7,0,0,0,0,0,0
2014-06-23,1,1,3755,456,1,0,0,0
2014-06-24,1,2,3351,444,1,0,0,0
2014-06-25,1,3,3727,440,1,0,0,0
2014-06-26,1,4,2749,368,1,0,0,0
2014-06-27,1,5,4019,501,1,0,0,0
2014-06-28,1,6,5162,566,1,0,0,0
2014-06-29,1,7,0,0,0,0,0,0
2014-06-30,1,1,5738,641,1,1,0,0
2014-07-01,1,2,5138,533,1,1,0,0
2014-07-02,1,3,5161,560,1,1,0,0
2014-07-03,1,4,4756,514,1,1,0,0
2014-07-04,1,5,4025,450,1,1,0,0
2014-07-05,1,6,5176,589,1,0,0,0
2014-07-06,1,7,0,0,0,0,0,0
2014-07-07,1,1,4223,505,1,0,0,0
2014-07-08,1,2,4081,510,1,0,0,0
2014-07-09,1,3,3547,485,1,0,0,0
2014-07-10,1,4,3741,472,1,0,0,0
2014-07-11,1,5,4020,463,1,0,0,0
2014-07-12,1,6,4409,531,1,0,0,0
2014-07-13,1,7,0,0,0,0,0,0
2014-07-14,1,1,5083,532,1,1,0,0
2014-07-15,1,2,5298,538,1,1,0,0
2014-07-16,1,3,5424,566,1,1,0,0
2014-07-17,1,4,4685,525,1,1,0,0
2014-07-18,1,5,4609,506,1,1,0,0
2014-07-19,1,6,4084,477,1,0,0,0
2014-07-20,1,7,0,0,0,0,0,0
2014-07-21,1,1,4507,528,1,0,0,0
2014-07-22,1,2,3933,495,1,0,0,0
2014-07-23,1,3,3806,476,1,0,0,0
2014-07-24,1,4,3557,494,1,0,0,0
2014-07-25,1,5,3858,461,1,0,0,0
2014-07-26,1,6,4266,488,1,0,0,0
2014-07-27,1,7,0,0,0,0,0,0
2014-07-28,1,1,5372,584,1,1,0,1
2014-07-29,1,2,5252,591,1,1,0,1
2014-07-30,1,3,5487,587,1,1,0,1
2014-07-31,1,4,5106,575,1,1,0,0
2014-08-01,1,5,5038,572,1,1,0,1
2014-08-02,1,6,4731,555,1,0,0,1
2014-08-03,1,7,0,0,0,0,0,1
2014-08-04,1,1,5655,592,1,1,0,1
2014-08-05,1,2,5433,620,1,1,0,1
2014-08-06,1,3,5337,575,1,1,0,1
